,country,experience_ml,age,role_group,gender,salary_avg
500,12,1,3,0,0,222.8988288144251
501,0,3,2,1,0,77.73682636782002
502,19,0,6,1,0,103.06289000048194
503,6,3,2,0,1,130.7087424308525
504,0,1,3,2,0,118.09813614437608
505,2,2,6,2,0,187.2326310891366
506,2,4,6,2,0,187.2326310891366
507,3,4,3,0,0,233.04048883648673
508,18,0,1,1,0,103.06289000048194
509,5,2,1,0,0,103.06289000048194
510,7,5,2,0,2,187.2326310891366
511,0,5,6,0,0,141.71828898488442
512,0,0,0,1,0,103.06289000048194
513,4,0,5,0,0,212.00749960243928
514,0,1,4,0,0,141.71828898488442
515,0,0,3,2,0,103.06289000048194
516,15,4,3,0,0,156.15953479311986
517,8,0,2,1,0,200.19851193256022
518,10,0,3,3,0,103.06289000048194
519,7,2,2,0,0,53.32961628929493
520,0,4,3,1,0,156.15953479311986
521,6,2,2,0,0,172.7492065931607
522,4,0,4,2,2,27.02080847004485
523,6,2,6,0,0,53.32961628929493
524,8,4,6,0,0,103.06289000048194
525,4,5,3,1,0,200.19851193256022
526,4,4,3,1,0,187.2326310891366
527,4,0,2,3,0,172.7492065931607
528,5,4,8,1,0,130.7087424308525
529,0,0,5,1,0,118.09813614437608
530,7,1,6,3,2,222.8988288144251
531,19,0,4,1,0,187.2326310891366
532,4,1,3,2,1,43.10818354904701
533,6,4,2,2,0,187.2326310891366
534,8,6,4,0,1,156.15953479311986
535,1,1,4,0,1,27.02080847004485
536,13,2,2,0,0,249.33775301859075
537,2,1,4,0,0,43.10818354904701
538,10,4,4,1,0,156.15953479311986
539,8,0,6,0,0,67.95421998648453
540,11,4,0,1,0,200.19851193256022
541,4,3,3,2,0,212.00749960243928
542,4,2,6,2,0,233.04048883648673
543,4,0,2,0,0,156.15953479311986
544,14,3,6,2,0,200.19851193256022
545,6,1,6,0,0,103.06289000048194
546,5,3,4,0,0,118.09813614437608
547,0,1,1,1,0,61.283233089426346
548,8,0,5,2,0,77.73682636782002
549,0,0,9,2,0,172.7492065931607
550,17,0,0,0,0,27.02080847004485
551,3,6,4,0,0,222.8988288144251
552,9,3,7,0,0,89.16583905874286
553,3,2,1,0,0,103.06289000048194
554,3,5,3,0,0,200.19851193256022
555,5,0,1,0,1,27.02080847004485
556,1,1,7,2,0,172.7492065931607
557,2,5,6,2,0,270.14982462478054
558,1,1,5,2,1,172.7492065931607
559,5,2,2,2,0,156.15953479311986
560,4,0,4,2,0,233.04048883648673
561,2,0,2,1,0,77.73682636782002
562,10,0,3,2,0,118.09813614437608
563,7,2,6,3,1,270.14982462478054
564,2,1,4,1,0,156.15953479311986
565,3,1,7,0,0,27.02080847004485
566,3,2,3,1,0,233.04048883648673
567,2,2,2,3,0,130.7087424308525
568,5,4,6,3,0,270.14982462478054
569,6,3,2,1,0,187.2326310891366
570,1,1,2,0,0,212.00749960243928
571,2,6,4,0,0,233.04048883648673
572,0,2,7,0,0,43.10818354904701
573,5,0,9,1,0,103.06289000048194
574,11,1,5,2,0,187.2326310891366
575,8,1,3,0,0,118.09813614437608
576,11,0,2,3,0,172.7492065931607
577,5,1,3,1,1,27.02080847004485
578,2,6,9,0,1,249.33775301859075
579,4,1,4,0,0,156.15953479311986
580,3,2,3,1,1,222.8988288144251
581,0,1,1,0,0,103.06289000048194
582,10,1,2,2,0,43.10818354904701
583,2,7,7,0,0,187.2326310891366
584,4,6,4,0,0,200.19851193256022
585,6,2,4,0,0,141.71828898488442
586,0,1,3,1,0,118.09813614437608
587,0,1,3,0,0,156.15953479311986
588,5,0,5,1,0,156.15953479311986
589,5,5,7,0,0,187.2326310891366
590,0,0,1,2,0,43.10818354904701
591,0,1,2,1,0,270.14982462478054
592,4,1,2,0,1,27.02080847004485
593,3,5,8,3,0,270.14982462478054
594,6,0,3,2,0,130.7087424308525
595,4,5,6,3,0,222.8988288144251
596,9,3,5,0,0,187.2326310891366
597,1,0,1,2,0,172.7492065931607
598,0,3,2,1,0,187.2326310891366
599,6,6,7,2,0,103.06289000048194
600,0,1,4,2,0,187.2326310891366
601,8,1,0,0,0,77.73682636782002
602,1,1,2,0,0,212.00749960243928
603,2,1,4,1,0,156.15953479311986
604,3,2,4,0,0,233.04048883648673
605,7,5,5,1,0,212.00749960243928
606,12,5,4,1,0,212.00749960243928
607,8,0,0,1,0,27.02080847004485
608,16,0,2,2,1,27.02080847004485
609,2,0,7,3,0,187.2326310891366
610,5,1,7,0,0,27.02080847004485
611,3,4,2,0,0,172.7492065931607
612,5,4,2,0,0,187.2326310891366
613,0,1,0,1,0,43.10818354904701
614,2,4,3,3,0,270.14982462478054
615,5,1,3,0,0,43.10818354904701
616,3,0,3,3,1,27.02080847004485
617,6,3,1,0,0,27.02080847004485
618,10,5,3,0,1,130.7087424308525
619,6,0,1,0,0,27.02080847004485
620,2,2,2,0,0,156.15953479311986
621,9,4,2,0,1,43.10818354904701
622,11,0,5,3,1,212.00749960243928
623,19,2,4,1,0,187.2326310891366
624,0,0,2,2,0,103.06289000048194
625,0,2,4,2,0,103.06289000048194
626,3,7,5,0,0,249.33775301859075
627,0,0,0,0,0,61.283233089426346
628,7,4,4,0,0,249.33775301859075
629,0,0,1,1,1,249.33775301859075
630,3,1,8,1,0,222.8988288144251
631,0,2,6,0,0,77.73682636782002
632,6,1,2,1,0,141.71828898488442
633,0,0,3,0,1,67.95421998648453
634,9,0,7,0,1,89.16583905874286
635,16,0,1,2,0,130.7087424308525
636,1,2,2,2,0,156.15953479311986
637,4,1,2,0,2,27.02080847004485
638,7,6,8,0,0,249.33775301859075
639,17,0,3,0,0,233.04048883648673
640,2,2,5,2,0,233.04048883648673
641,8,3,2,1,0,172.7492065931607
642,0,2,0,0,0,103.06289000048194
643,4,2,3,1,0,172.7492065931607
644,0,0,3,0,0,118.09813614437608
645,6,3,2,0,1,156.15953479311986
646,2,1,2,1,0,118.09813614437608
647,0,0,6,3,0,43.10818354904701
648,5,4,6,0,0,103.06289000048194
649,2,0,7,0,0,43.10818354904701
650,2,0,6,3,0,172.7492065931607
651,0,0,3,1,0,53.32961628929493
652,7,0,6,1,0,212.00749960243928
653,3,0,3,2,0,61.283233089426346
654,0,2,0,1,0,53.32961628929493
655,12,4,5,3,0,249.33775301859075
656,6,1,1,2,0,130.7087424308525
657,0,1,6,2,0,27.02080847004485
658,3,2,3,1,1,27.02080847004485
659,3,0,2,1,0,27.02080847004485
660,5,1,3,3,0,141.71828898488442
661,2,0,2,2,0,172.7492065931607
662,0,4,3,0,0,187.2326310891366
663,13,2,6,1,0,222.8988288144251
664,17,4,6,0,0,270.14982462478054
665,0,1,5,1,0,103.06289000048194
666,0,2,1,2,0,89.16583905874286
667,2,5,7,2,0,156.15953479311986
668,15,0,3,3,0,156.15953479311986
669,3,3,2,3,1,172.7492065931607
670,10,2,1,2,0,89.16583905874286
671,16,0,5,2,0,77.73682636782002
672,14,1,3,0,0,270.14982462478054
673,8,1,4,0,0,43.10818354904701
674,4,4,2,0,0,130.7087424308525
675,0,2,9,1,0,77.73682636782002
676,3,4,3,1,0,249.33775301859075
677,4,2,6,1,0,187.2326310891366
678,8,4,9,0,0,61.283233089426346
679,0,1,0,0,0,103.06289000048194
680,2,2,2,0,1,141.71828898488442
681,3,5,5,3,0,249.33775301859075
682,17,4,8,1,0,270.14982462478054
683,4,6,9,3,0,89.16583905874286
684,7,3,4,0,0,200.19851193256022
685,4,3,5,3,0,249.33775301859075
686,8,1,6,0,0,103.06289000048194
687,8,2,1,0,0,27.02080847004485
688,2,2,1,2,0,118.09813614437608
689,4,2,2,0,0,200.19851193256022
690,17,0,5,2,0,222.8988288144251
691,2,6,8,2,0,249.33775301859075
692,17,2,5,1,0,200.19851193256022
693,4,4,6,0,0,130.7087424308525
694,16,2,2,0,0,156.15953479311986
